epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6484.32,1.25257,1.21425,1.65303,0.81805,0.60801,0.6984,0.4465,1.25317,1.10812,1.64019,0.000742625,0.000742625,0.000742625
43,6636.32,1.27451,1.23647,1.67277,0.81895,0.62926,0.69909,0.43889,1.26907,1.15563,1.65795,0.00073025,0.00073025,0.00073025
44,6789.58,1.24586,1.16242,1.64878,0.79273,0.68577,0.71552,0.44216,1.27347,1.13991,1.65036,0.000717875,0.000717875,0.000717875
45,6944.72,1.25277,1.16377,1.65158,0.77214,0.62098,0.69744,0.4423,1.24484,1.1364,1.61441,0.0007055,0.0007055,0.0007055
46,7095.23,1.24407,1.16289,1.64215,0.77587,0.64532,0.70597,0.4421,1.25141,1.11768,1.62583,0.000693125,0.000693125,0.000693125
47,7250.85,1.22148,1.14237,1.62503,0.77547,0.60416,0.69358,0.43362,1.27212,1.13109,1.63053,0.00068075,0.00068075,0.00068075
48,7402.97,1.24167,1.13738,1.64207,0.72039,0.66971,0.70973,0.44891,1.23244,1.10491,1.61844,0.000668375,0.000668375,0.000668375
49,7554.2,1.1974,1.11703,1.59927,0.79025,0.67387,0.72485,0.45604,1.26405,1.08646,1.61257,0.000656,0.000656,0.000656
50,7710.05,1.21769,1.15243,1.61606,0.80127,0.64138,0.7184,0.45811,1.23328,1.07642,1.59436,0.000643625,0.000643625,0.000643625
51,7861.2,1.17886,1.10919,1.59356,0.86602,0.62455,0.71785,0.45671,1.2405,1.08132,1.61884,0.00063125,0.00063125,0.00063125
52,8018.34,1.18049,1.0853,1.59151,0.84327,0.64068,0.72524,0.45722,1.23954,1.04827,1.61853,0.000618875,0.000618875,0.000618875
53,8170.92,1.17692,1.07464,1.58078,0.80995,0.65016,0.72196,0.46359,1.22415,1.03214,1.58359,0.0006065,0.0006065,0.0006065
54,8325.83,1.17983,1.07334,1.57943,0.78917,0.66663,0.72735,0.45767,1.26705,1.06403,1.62972,0.000594125,0.000594125,0.000594125
55,8480.74,1.14714,1.04508,1.56216,0.79557,0.65026,0.719,0.46372,1.23877,1.03961,1.59646,0.00058175,0.00058175,0.00058175
56,8635.97,1.15348,1.06504,1.5502,0.86404,0.6383,0.74163,0.47313,1.24324,1.01869,1.59446,0.000569375,0.000569375,0.000569375
57,8791.73,1.15419,1.06737,1.56472,0.80788,0.69639,0.74911,0.47823,1.21948,1.02211,1.57425,0.000557,0.000557,0.000557
58,8941.54,1.1556,1.06532,1.56298,0.79688,0.67812,0.74455,0.46428,1.26345,1.0064,1.60748,0.000544625,0.000544625,0.000544625
59,9098.55,1.14549,1.03955,1.53726,0.81548,0.68589,0.73498,0.47349,1.21747,0.99404,1.57888,0.00053225,0.00053225,0.00053225
60,9249.98,1.12799,1.03836,1.52881,0.79831,0.70381,0.75927,0.47631,1.25498,0.97454,1.58382,0.000519875,0.000519875,0.000519875
61,9403.99,1.1296,1.0315,1.54523,0.79492,0.70085,0.75462,0.48415,1.20544,0.98703,1.56108,0.0005075,0.0005075,0.0005075
62,9553.43,1.11899,1.02103,1.51742,0.80524,0.7175,0.76135,0.48404,1.18673,0.9688,1.55376,0.000495125,0.000495125,0.000495125
63,9705.79,1.13807,1.00315,1.54313,0.78634,0.70708,0.7545,0.48749,1.17874,0.9793,1.5274,0.00048275,0.00048275,0.00048275
64,9858.43,1.11328,1.02277,1.52467,0.79803,0.67734,0.74378,0.48599,1.18702,0.95268,1.54394,0.000470375,0.000470375,0.000470375
65,10012.2,1.11195,0.98263,1.5239,0.77492,0.71365,0.75938,0.48851,1.21293,0.96561,1.54781,0.000458,0.000458,0.000458
66,10164.4,1.1133,0.9888,1.50274,0.80833,0.69534,0.75694,0.47778,1.22487,0.96733,1.56278,0.000445625,0.000445625,0.000445625
67,10312.7,1.09991,0.97818,1.5017,0.7705,0.70804,0.75012,0.46971,1.22683,0.9691,1.57406,0.00043325,0.00043325,0.00043325
68,10466.8,1.09603,0.9865,1.5082,0.81515,0.66839,0.75731,0.48455,1.2109,0.96263,1.55697,0.000420875,0.000420875,0.000420875
69,10620.5,1.10528,0.98435,1.50789,0.85292,0.70745,0.77175,0.49395,1.19539,0.9247,1.54424,0.0004085,0.0004085,0.0004085
70,10773.1,1.06816,0.95217,1.48244,0.83758,0.7286,0.77908,0.49825,1.16945,0.92666,1.50833,0.000396125,0.000396125,0.000396125
