epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6816.69,1.60578,1.62104,2.03828,0.72519,0.54136,0.60609,0.31776,1.73711,1.39051,2.05628,0.000742625,0.000742625,0.000742625
43,6976.43,1.60237,1.60462,2.03808,0.68264,0.59168,0.62989,0.32103,1.7477,1.35162,2.03898,0.00073025,0.00073025,0.00073025
44,7139.88,1.57549,1.59178,1.9854,0.74431,0.5754,0.60896,0.30018,1.75859,1.42478,2.07273,0.000717875,0.000717875,0.000717875
45,7304.22,1.58524,1.58046,2.00426,0.81167,0.53521,0.61153,0.3069,1.79523,1.41409,2.11082,0.0007055,0.0007055,0.0007055
46,7465.99,1.58491,1.58054,2.00434,0.78831,0.56103,0.63195,0.32746,1.67767,1.4004,1.97157,0.000693125,0.000693125,0.000693125
47,7624.77,1.55854,1.55872,1.98488,0.76499,0.567,0.6186,0.3253,1.71074,1.32222,1.99447,0.00068075,0.00068075,0.00068075
48,7787.69,1.56532,1.5963,2.01259,0.78191,0.57372,0.65143,0.35017,1.59164,1.37296,1.91447,0.000668375,0.000668375,0.000668375
49,7947.38,1.54703,1.53675,1.97224,0.64815,0.59294,0.62361,0.34949,1.58204,1.34896,1.90409,0.000656,0.000656,0.000656
50,8109.97,1.52076,1.51394,1.94313,0.83404,0.57598,0.63575,0.33164,1.74506,1.31511,2.02345,0.000643625,0.000643625,0.000643625
51,8265.07,1.54834,1.54828,1.97401,0.72369,0.58921,0.63474,0.33685,1.60894,1.45726,1.91327,0.00063125,0.00063125,0.00063125
52,8429.39,1.52423,1.50735,1.94743,0.71875,0.62665,0.65146,0.33637,1.72241,1.2675,2.0012,0.000618875,0.000618875,0.000618875
53,8595.83,1.54895,1.52472,1.96931,0.69605,0.6232,0.65429,0.33847,1.71776,1.31929,1.98557,0.0006065,0.0006065,0.0006065
54,8761.76,1.52158,1.50498,1.92982,0.66543,0.62082,0.65146,0.36596,1.56954,1.29403,1.87651,0.000594125,0.000594125,0.000594125
55,8920.35,1.52787,1.48654,1.93949,0.71676,0.63881,0.68369,0.3827,1.53313,1.28047,1.83214,0.00058175,0.00058175,0.00058175
56,9085.37,1.5037,1.45523,1.90154,0.75557,0.62153,0.67998,0.37683,1.5845,1.28378,1.85018,0.000569375,0.000569375,0.000569375
57,9248.93,1.52555,1.48056,1.93985,0.75284,0.63111,0.68771,0.36793,1.62237,1.23897,1.91115,0.000557,0.000557,0.000557
58,9411.91,1.45219,1.43476,1.88263,0.72612,0.60129,0.65206,0.35114,1.62812,1.30524,1.9222,0.000544625,0.000544625,0.000544625
59,9569.18,1.4676,1.44994,1.88007,0.68691,0.64351,0.65781,0.36002,1.61173,1.20106,1.90229,0.00053225,0.00053225,0.00053225
60,9729.78,1.48279,1.44791,1.90319,0.78114,0.61358,0.66914,0.37254,1.56607,1.2827,1.8374,0.000519875,0.000519875,0.000519875
61,9893.57,1.4662,1.4404,1.89088,0.74386,0.65755,0.68879,0.37012,1.61607,1.16875,1.88454,0.0005075,0.0005075,0.0005075
62,10055.7,1.49979,1.45058,1.91337,0.73082,0.62618,0.67854,0.3794,1.5424,1.25599,1.8268,0.000495125,0.000495125,0.000495125
63,10217.4,1.45402,1.38643,1.86275,0.80035,0.63543,0.70029,0.40036,1.5139,1.17819,1.81976,0.00048275,0.00048275,0.00048275
